feed_rate,depth_of_cut,spindle_speed,tool_condition
0.09024401875381903,0.3285808251746459,11339.332863835036,0.1
0.09254799063079902,0.3019566674338334,11266.983634190863,0.1
0.09107259211413539,0.30903891582248166,11160.900569304136,0.1
0.09247958545781435,0.29540200964168245,10887.073451870066,0.1
0.08996386659395844,0.2875945800565285,11061.519747083257,0.1
0.08993270709665512,0.36414309090602937,11357.22053465241,0.1
0.0898899539951688,0.27154305207333806,10822.878593733432,0.1
0.0934570223140984,0.28503337942921364,11430.650381409878,0.1
0.09266835451484531,0.38543925410565805,10498.456775216291,0.1
0.07992398275534528,0.43100873188724703,11494.263331334845,0.1
0.09240449001409802,0.2666337234994472,11246.010983249806,0.1
0.09312331796722767,0.28251151710175276,11425.973472797066,0.1
0.09254799063079902,0.27918855600480236,10735.223458172004,0.1
0.093254060498382,0.3613093498081384,11355.998151760705,0.1
0.09270549956678494,0.30939222712030884,11151.095217091064,0.1
0.09294461930410879,0.27647587807015406,11436.084000338451,0.1
0.09409921754395949,0.3033711001317332,11425.852980197418,0.1
0.09254799063079902,0.3148800923011688,10758.810218957764,0.1
0.09345876961579787,0.28804288662821237,11063.502736247514,0.1
0.08864200657750562,0.29540200964168245,10897.646446159604,0.1
0.09313346633517977,0.284320695190294,10956.492159851148,0.1
0.0924915671809553,0.31258957075034394,11477.364274397192,0.1
0.08995839759555638,0.2990097124621289,10840.29854342763,0.1
0.09006181403017166,0.2848800451965173,11076.943350425478,0.1
0.09170419447664019,0.26647168403233223,11422.88387115795,0.1
0.09107259211413539,0.31219215675819983,11160.900569304136,0.1
0.09321485032071558,0.27507438631184483,11064.468108440175,0.1
0.09108525428089252,0.2900494823008109,11160.900569304136,0.1
0.09313346633517977,0.3102362764118789,10958.70302596185,0.1
0.0898899539951688,0.2561881710777821,10828.948442860225,0.1
0.0929859530635684,0.26168912921038406,11410.223901934898,0.1
0.09313346633517977,0.3700137362583412,11207.461967544112,0.1
0.09125160042021062,0.3285808251746459,11344.722913901576,0.1
0.08994339596859566,0.3092030962994335,11353.56524799622,0.1
0.0929472773947445,0.27839596531436644,10655.79574809123,0.1
