feed_rate,depth_of_cut,spindle_speed,tool_condition,nn_dist_energy,nn_dist_roughness,is_ood_energy,is_ood_roughness,is_ood_any
0.0927315869627277,0.317832166098335,10532.324152649628,0.053,0.20013331333889586,0.6346253262973972,True,True,True
0.0928774115610712,0.2970935972523131,10629.06935129661,0.053,0.21022587297101597,0.646121027989618,True,True,True
0.0926577561290662,0.2508793203536046,10798.72821128459,0.053,0.22763415378639051,0.6401606168253335,True,True,True
0.0923392558741335,0.2559033479026338,10559.122872179032,0.053,0.2009056104378163,0.6399032483038385,True,True,True
0.0930692304917007,0.3083329722554263,11082.318714686444,0.053,0.2631243882217008,0.6442302653610753,True,True,True
0.0947554841002803,0.300716032422621,10614.18016431904,0.053,0.21859632103480559,0.650096633901671,True,True,True
0.0914294183074906,0.2500095145496913,11109.059434645982,0.053,0.25939919296927266,0.6390684591146527,True,True,True
0.0933733664529805,0.2738806909878045,10654.598910387498,0.053,0.21537994687590076,0.6425629753862345,True,True,True
0.0918955083935803,0.2646763869431187,11080.699334832654,0.053,0.25829427535152166,0.6399617376249533,True,True,True
0.0933545658530765,0.3442403846563258,10815.044920679977,0.053,0.23335506747921125,0.6118018310303738,True,True,True
0.088857816181797,0.270466958062306,10913.94269358984,0.053,0.2235822089119298,0.6399906993013595,True,True,True
0.0913431909062845,0.2828010114371121,11084.263688798115,0.053,0.2556990475222435,0.6417934252202689,True,True,True
0.0928774115610712,0.3177376072045582,10562.24463502384,0.053,0.20360372956379374,0.6348940268209677,True,True,True
0.0933084987239055,0.2695937182240404,11269.162031769429,0.053,0.28630008926528216,0.6419896159225219,True,True,True
0.0926569592173856,0.255547412571891,11086.67398994881,0.053,0.2621469906021966,0.6402371547506451,True,True,True
0.0945401271908112,0.3090906259682563,11084.141119947528,0.053,0.2692238175428483,0.6458974131043415,True,True,True
0.0928395710756804,0.2678963411447337,11252.392312825928,0.053,0.2822656277641243,0.6412015835723636,True,True,True
0.0918955083935803,0.2842339130331325,11479.764398992544,0.053,0.3071040621546405,0.6424276007550603,True,True,True
0.0939982009457915,0.2555437211195148,11131.95987612178,0.053,0.2725511777728185,0.6421705170823455,True,True,True
