,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
610,0.05333132648361235,-0.0171128575853818,-0.0024104045225294703,-0.03647357719300046,0.0030923466201143186,0.006110337045206834,-0.00734604112293838,-0.011751049260347248,0.0241772323170662,0.0,-0.06795294812032229,0.02027612893637363,0.020749230196647702,0.02067325289233741,0.02249714731477743,0.0
174,0.10875141922074294,0.03768571786741645,0.005727173961268443,0.009430443486583015,0.010951343798675505,0.039600268820195995,0.0007017791465253558,0.0029389038644226477,-0.007216642917241062,0.0,-0.18998427207811777,-0.009029050825734656,-0.0031671213362647736,-0.015644855065919772,-0.004083394161990071,0.0
67,-0.09609998225667324,-0.0026996038758156007,0.0026572838814029704,0.030187389515970893,-0.005399851261989688,-0.012507412469240753,0.01013966107036548,-0.0048550225346503835,0.01765930869962159,0.0,-0.0269234504500816,-0.01038897071757628,0.0018435691028507739,0.014284517368991773,-0.0011455430547584714,0.0
168,0.17245837236237344,0.13855677681082254,0.019154007967124836,0.10178823535655171,0.023551499688828442,0.11305426347811909,0.005918361084083729,-0.011228235027336365,0.013466613578361526,0.0,0.3359256772045,0.08994634946556122,0.030659939071493884,-0.00034497658722942767,0.0091898583839978,0.0
275,0.12911044694931803,0.060666573334429465,-0.013977452658846133,0.050488691977762665,0.0004600264614059881,-0.02177949234163118,0.001613250661469415,0.00044349370772587654,0.00014605078793554133,0.0,-0.05300815665956109,0.006026221867961313,0.0033943010302762847,0.021021945617397172,-0.0075753008131111705,0.0
335,-0.07329568431071444,0.05547225013761998,0.0034861094851976206,0.014045118336970242,-0.0003832766635832769,-0.017581896971853382,-0.010215382728905723,0.001281282438685296,-0.027575486500912537,0.0,-0.11842378221917874,-0.03888755776549376,-0.012512623940379901,-0.016897233383128988,-0.0052398153588092185,0.0
810,-0.06527805031298571,-0.035928197415088195,0.007208061098747,-0.00880037375910905,0.013082456498174218,0.023551967103005618,0.024239155134822898,0.002324932705995974,-0.02216564206012513,0.0,-0.030197613489147533,-0.003226169839682147,0.005022109364378245,0.016149528378636802,-0.001736653932674335,0.0
86,-0.11448794849761486,-0.051906442029563155,-0.00227973414710707,0.0067854126020646804,-0.0012551538886459354,-0.021745445907220124,-0.012322999322435954,0.00896321559117058,0.008364614333135519,0.0,0.14356493392563072,0.005639162199425478,-0.007146269586462931,-0.012833713915435873,-0.004349797904969253,0.0
672,0.10214531914643464,-0.012494498882612795,0.007947653633116317,-0.0013810636651365904,0.005184744659386147,0.05899807749785404,0.036246546263000175,0.02461563946059605,0.03960014063366224,0.0,-0.020733484509139165,0.010164885603581942,0.010010496527212528,0.021597242171471027,-0.005980132654137104,0.0
715,-0.0743602927656877,0.019964730461399023,0.011797687687030165,-0.012982209007293707,0.0034741811633493677,0.026212243604568197,-0.01818259016797895,-0.0020645548609218734,0.026163396107757007,0.0,-0.04592178705726048,-0.006327527008999971,-0.0021815668329047814,0.01807482088255115,-0.000645204178295658,0.0
