,Tool_ID,Position,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Exp
30,-0.5228576646712972,0.080628474257883,0.5320030625940535,0.0,0.449559932913243,1.3056317910812116,-0.02544788713693836,-1.1082114494247142,0.0,0.0,0.0
173,1.155413921938098,-0.10365615153995716,16.358476160272257,0.0,1.2240257865824664,1.1085368433250455,0.00966789278429476,1.4736664536558888,0.0,0.0,0.0
140,0.8252643585200728,0.05309912174378285,-6.274293978794413,0.0,1.720203787623535,3.338782269188712,-0.00578084977693655,1.502923137688071,0.0,0.0,0.0
75,-0.2644118943425107,-0.07572094779653059,22.200459673148792,0.0,1.5665322022389485,-0.729583285264834,0.05240327922710902,-0.8939832222184642,0.0,0.0,0.0
60,-0.3263660261652916,0.05235097403407797,18.345118154417573,0.0,1.2408340781168787,0.8514467604608745,-0.056254074012970466,-0.9574292954482119,0.0,0.0,0.0
209,-0.29950537159449797,-0.01951613186846467,-9.4671556297655,0.0,-0.3624833717669641,0.9303453320913224,-0.02475080372538034,1.2258083700669302,0.0,0.0,0.0
45,-0.4989326933195111,-0.03272510306902919,9.921002163407012,0.0,0.5623983059395061,1.2426331825929497,0.012617100237627441,-0.9028211363298773,0.0,0.0,0.0
183,0.9041978552699894,-0.1414490054037921,19.975981314643978,0.0,2.3084954216839066,1.5603390362076466,0.03297191708564166,1.3391884467795776,0.0,0.0,0.0
9,-0.3910188297512411,-0.05639159918274953,-12.37853324722983,0.0,0.2459940441783313,1.5170935115124147,-0.024628689920186807,-0.8128528923726211,0.0,0.0,0.0
100,-0.6012231270043792,0.04890825728899448,-8.985621858130706,0.0,-2.098224999784308,-2.352324816313175,0.31355737232436953,-1.1706342791904343,0.0,0.0,0.0
137,0.8160820766980029,-0.05540353311359706,-6.522218723274255,0.0,0.9717362261774483,2.0312690771583775,0.0003399813970479444,1.5108729484286976,0.0,0.0,0.0
189,0.8377279174749377,-0.07237062416137179,22.940075326084912,0.0,1.6222056916637653,1.2852268469664014,0.04073057931252628,1.2494895469596397,0.0,0.0,0.0
156,0.818736064895804,0.07739346131639505,7.895208505076722,0.0,0.12525942166394016,1.0102411639093765,-0.016507557822543994,1.4534623979330938,0.0,0.0,0.0
82,-0.025376573778573993,0.03160220743070719,-13.290747514338731,0.0,-0.5936492677240234,-1.0340974129683163,-0.00338438935615532,-0.6785519729205849,0.0,0.0,0.0
15,-0.6476693159933485,-0.06765251981452135,-7.539705532960599,0.0,0.16463158695670557,0.0524539119076866,0.038889174875386394,-1.1805650655016366,0.0,0.0,0.0
201,-0.39254365723344364,-0.05915767975315194,-12.46772715195782,0.0,-0.5604998122451131,-0.09662256700746984,-0.040412761413379114,0.8632589995478437,0.0,0.0,0.0
