Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G0,0.0,0.0,0.0,0.0,0.0,0.031058160472573523,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.321347398,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.029624597445034977,0.0,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.018656742000001,0.024
G0,0.0,0.0,0.0,0.0,0.019039833333333332,0.03419630782817551,0.0015866527777777778,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.41500096,0.024
G0,361.016,82.268,6.212999999999965,370.2709495491106,0.005256,16269.780019468215,26.90794910593554,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,724.0084763020001,159.47545800400002,-15.310618655999999,2.4169861519999998,612.00717435,1.696
G0,0.0,0.0,0.0,0.0,0.0,5.288212185520743,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,9.020537988000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,2.0188181256150015,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.961627376000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,1.0214585709314532,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.814951958,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.5242507075918612,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.955337850000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.4017967905323022,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.420611502,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.18161536587430452,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.394963336,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.18637177779713673,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.949727315999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.18053814276411123,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.329640678000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.1022793021846925,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.108425303999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.06297371938526136,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.767663164000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.07205802559905283,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.552859826000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.08383954349301423,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.588927548,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04822573052571776,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.467098788,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.058158634512937235,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.671204328,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.0699246518755213,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.370918192000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04954198354602823,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.810666196000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.05546704830570268,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.9240791559999995,0.024
