target,model,r2,rmse,mae,mape,n_samples
energy,catboost,0.12156790304077103,293.4080400971513,92.73509926173767,7.386882851726173,47
energy,xgboost,0.10876147207756548,295.53906070320744,99.04120786166521,7.281823556978482,47
energy,random_forest,0.0777487398090485,300.63707753631786,109.8001196396278,8.625733221486682,47
energy,svr,-0.0064907118114738704,314.0673557845961,154.12185594131066,15.977704172362483,47
energy,linear_regression,-232.72790901219534,4786.005565072568,2421.3984577844503,278.16985862067776,47
