number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
32,0.4725817751415417,2026-06-26 21:34:29.133667,2026-06-26 21:34:30.036157,0 days 00:00:00.902490,0.1916951534096464,196,4,1000,1.5799050192499193,0.186214683101907,COMPLETE
33,0.61797783555739,2026-06-26 21:34:30.041073,2026-06-26 21:34:30.953173,0 days 00:00:00.912100,0.6450909006849596,174,5,900,0.12724434227036732,0.07268923751536596,COMPLETE
34,0.46296786626760217,2026-06-26 21:34:30.958256,2026-06-26 21:34:31.650654,0 days 00:00:00.692398,0.40662674707345114,217,4,750,1.0455725009854595,0.12010182590917744,COMPLETE
35,0.725399439802268,2026-06-26 21:34:31.655981,2026-06-26 21:34:32.584336,0 days 00:00:00.928355,0.48652787901959627,191,5,950,2.291194417457311,0.29924314250723394,COMPLETE
36,0.5333771831080518,2026-06-26 21:34:32.589277,2026-06-26 21:34:33.334876,0 days 00:00:00.745599,0.8100111576898814,240,4,750,0.09750067450512995,0.05119494999613615,COMPLETE
37,0.8467980703232392,2026-06-26 21:34:33.338424,2026-06-26 21:34:34.262745,0 days 00:00:00.924321,0.32207118707172205,157,7,700,0.5029887280055061,0.19718299972801,COMPLETE
38,0.6325648780058882,2026-06-26 21:34:34.266730,2026-06-26 21:34:35.241104,0 days 00:00:00.974374,0.5175334481327272,202,5,850,5.385462014694351,0.12118310640873463,COMPLETE
39,1.4738231733437217,2026-06-26 21:34:35.245316,2026-06-26 21:34:40.854401,0 days 00:00:05.609085,0.12704369424771336,172,10,950,0.7994312211287387,0.028100200768101477,COMPLETE
40,0.5127989569175542,2026-06-26 21:34:40.858976,2026-06-26 21:34:41.592110,0 days 00:00:00.733134,0.6512246462958667,252,4,800,0.20175387754445542,0.08634166561232438,COMPLETE
41,0.4716186839546622,2026-06-26 21:34:41.596447,2026-06-26 21:34:42.381549,0 days 00:00:00.785102,0.4497092291603333,225,4,850,0.3863020685523068,0.14457930247452486,COMPLETE
42,0.4406877657888345,2026-06-26 21:34:42.385502,2026-06-26 21:34:43.026153,0 days 00:00:00.640651,0.4748265771838259,239,4,900,0.4313455032576448,0.2117175114027673,COMPLETE
43,0.3812544471397474,2026-06-26 21:34:43.031597,2026-06-26 21:34:43.744866,0 days 00:00:00.713269,0.5783853751601336,220,4,700,0.2692073975654455,0.14585486392472377,COMPLETE
44,1.1027182024868607,2026-06-26 21:34:43.750234,2026-06-26 21:34:46.364897,0 days 00:00:02.614663,0.5778744606930517,201,9,650,1.2195007114069345,0.0658107942762423,COMPLETE
45,1.6521341229954203,2026-06-26 21:34:46.369718,2026-06-26 21:34:47.067253,0 days 00:00:00.697535,0.4058688126817869,184,4,650,0.28940180836547597,0.0060664626255931935,COMPLETE
46,8.611871697976843,2026-06-26 21:34:47.070640,2026-06-26 21:34:47.812092,0 days 00:00:00.741452,0.6783887891802746,149,5,600,0.09176657343856466,0.0010620869481855375,COMPLETE
47,1.1672803325576775,2026-06-26 21:34:47.816682,2026-06-26 21:34:48.384975,0 days 00:00:00.568293,0.5436766067117179,215,6,350,0.03787188274300931,0.016519228475647012,COMPLETE
48,0.4391554260257486,2026-06-26 21:34:48.388635,2026-06-26 21:34:49.098724,0 days 00:00:00.710089,0.6108307793240038,180,4,750,2.156414457147967,0.23224628109767118,COMPLETE
49,0.6516031556666431,2026-06-26 21:34:49.103534,2026-06-26 21:34:49.844676,0 days 00:00:00.741142,0.5067383802245409,220,5,700,0.7162875531799673,0.10535546816823135,COMPLETE
50,0.6299378898331326,2026-06-27 21:17:35.095815,2026-06-27 21:17:35.734950,0 days 00:00:00.639135,0.27713002530781683,243,4,450,0.1732956283115326,0.047905165079471936,COMPLETE
51,0.7661590077866308,2026-06-27 21:17:35.749108,2026-06-27 21:17:35.914723,0 days 00:00:00.165615,0.45488787817937043,203,4,100,0.36307609947396285,0.12605061035030024,COMPLETE
52,0.4434005654593035,2026-06-27 21:17:35.924643,2026-06-27 21:17:36.644920,0 days 00:00:00.720277,0.4218522693982022,224,4,850,0.28973270618215385,0.13877061175733724,COMPLETE
53,0.4706848223961039,2026-06-27 21:17:36.654700,2026-06-27 21:17:37.324714,0 days 00:00:00.670014,0.3717372884258327,166,4,950,0.6810908882352622,0.1808947467932558,COMPLETE
54,0.6629828203476684,2026-06-27 21:17:37.324714,2026-06-27 21:17:38.130450,0 days 00:00:00.805736,0.5479028025426357,234,5,1000,0.14979091368088823,0.09604298295158678,COMPLETE
55,0.539403668606812,2026-06-27 21:17:38.134807,2026-06-27 21:17:38.814823,0 days 00:00:00.680016,0.7766969247159374,255,4,850,0.08156675245693659,0.06194400276288981,COMPLETE
56,0.7287806215096138,2026-06-27 21:17:38.824929,2026-06-27 21:17:39.409212,0 days 00:00:00.584283,0.5710870164424875,208,5,900,0.24557709332609973,0.24342159074076128,COMPLETE
57,0.37603986267311135,2026-06-27 21:17:39.414563,2026-06-27 21:17:40.024489,0 days 00:00:00.609926,0.4456923647187171,190,4,600,0.9308185429635872,0.15337284336643775,COMPLETE
58,7.494692472616984,2026-06-27 21:17:40.024489,2026-06-27 21:17:40.584717,0 days 00:00:00.560228,0.3006310313553595,132,4,550,5.640891070140491,0.00216032568216945,COMPLETE
59,0.7878222509131053,2026-06-27 21:17:40.584717,2026-06-27 21:17:41.194738,0 days 00:00:00.610021,0.48635297331575644,189,5,550,0.9802636158233358,0.17377856428739238,COMPLETE
60,0.5992396300070526,2026-06-27 21:17:41.194738,2026-06-27 21:17:41.904759,0 days 00:00:00.710021,0.7040009811467338,174,4,750,1.8858685025640705,0.08234645602125205,COMPLETE
61,0.44274407931360515,2026-06-27 21:17:41.914588,2026-06-27 21:17:42.506423,0 days 00:00:00.591835,0.4427780069555795,199,4,600,0.4178045742300748,0.1375169273215426,COMPLETE
62,0.46360858551968603,2026-06-27 21:17:42.506423,2026-06-27 21:17:43.204696,0 days 00:00:00.698273,0.62310208499197,180,4,800,0.5993323900429265,0.11410484563652913,COMPLETE
